Date,Doll
2014-06-02,0.735
2014-06-03,0.734
2014-06-04,0.7343
2014-06-05,0.7343
2014-06-06,0.7332
2014-06-09,0.7359
2014-06-10,0.7384
2014-06-11,0.739
2014-06-12,0.7377
2014-06-13,0.7395
2014-06-16,0.7365
2014-06-17,0.7384
2014-06-18,0.7371
2014-06-19,0.7342
2014-06-20,0.7361
2014-06-23,0.7357
2014-06-24,0.7359
2014-06-25,0.7332
2014-06-26,0.7348
2014-06-27,0.7336
2014-06-30,0.7305
2014-07-01,0.7309
2014-07-02,0.7323
2014-07-03,0.7348
2014-07-07,0.7351
2014-07-08,0.7345
2014-07-09,0.7337
2014-07-10,0.7353
2014-07-11,0.7354
2014-07-14,0.7342
2014-07-15,0.7368
2014-07-16,0.7391
2014-07-17,0.7391
2014-07-18,0.7399
2014-07-21,0.7394
2014-07-22,0.7424
2014-07-23,0.7428
2014-07-24,0.7425
2014-07-25,0.7445
2014-07-28,0.744
2014-07-29,0.7457
2014-07-30,0.7475
2014-07-31,0.7468
2014-08-01,0.7443
2014-08-04,0.7455
2014-08-05,0.7482
2014-08-06,0.7488
2014-08-07,0.7484
2014-08-08,0.7456
2014-08-11,0.7471
2014-08-12,0.7487
2014-08-13,0.7481
2014-08-14,0.7476
2014-08-15,0.7467
2014-08-18,0.7486
2014-08-19,0.7508
2014-08-20,0.7528
2014-08-21,0.7528
2014-08-22,0.7555
2014-08-25,0.7572
2014-08-26,0.7582
2014-08-27,0.758
2014-08-28,0.7588
2014-08-29,0.7605
2014-09-02,0.762
2014-09-03,0.7613
2014-09-04,0.7736
2014-09-05,0.7718
2014-09-08,0.7723
2014-09-09,0.7747
2014-09-10,0.7747
2014-09-11,0.773
2014-09-12,0.7719
2014-09-15,0.7721
2014-09-16,0.7707
2014-09-17,0.7717
2014-09-18,0.7744
2014-09-19,0.7791
2014-09-22,0.7795
2014-09-23,0.7777
2014-09-24,0.782
2014-09-25,0.7844
2014-09-26,0.7883
2014-09-29,0.7872
2014-09-30,0.7919
2014-10-01,0.7925
2014-10-02,0.7893
2014-10-03,0.7989
2014-10-06,0.7942
2014-10-07,0.792
2014-10-08,0.7885
2014-10-09,0.7885
2014-10-10,0.7914
2014-10-13,ND
2014-10-14,0.7899
2014-10-15,0.7826
2014-10-16,0.7805
2014-10-17,0.784
2014-10-20,0.7823
2014-10-21,0.7859
2014-10-22,0.79
2014-10-23,0.79
2014-10-24,0.789
2014-10-27,0.7867
2014-10-28,0.7845
2014-10-29,0.7836
2014-10-30,0.7923
2014-10-31,0.7981
2014-11-03,0.8008
2014-11-04,0.7966
2014-11-05,0.8008
2014-11-06,0.8055
2014-11-07,0.805
2014-11-10,0.8048
2014-11-11,ND
2014-11-12,0.8028
2014-11-13,0.8015
2014-11-14,0.8004
2014-11-17,0.8034
2014-11-18,0.7978
2014-11-19,0.7969
